"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"Action Pizza","philadelphia","chestnut-hill-college","$7","$1.5","40","4"
"Takka Grill","philadelphia","chestnut-hill-college","$8","$2","30","7"
"Mr. Hook Fish & Chicken","philadelphia","chestnut-hill-college","$10","$4","30","3"
"Saladworks","philadelphia","chestnut-hill-college","","at","80","21"
"Lair KTV","philadelphia","chinatown","$9","$1.99","70","12"
"Xiandu Thai","philadelphia","chinatown","$15","$1","90","359"
"Pancho's Cafe","philadelphia","chinatown","$15","$2","100","26"
"Rosa's Fresh Pizza","philadelphia","chinatown","$20","","90","160"
"Golden Triangle","philadelphia","chinatown","$15","","90","72"
"Bleu Sushi","philadelphia","chinatown","$15","$0.99","80","396"
"The Living Room","philadelphia","chinatown","$15","$2","90","127"
"Spice 28","philadelphia","chinatown","$15","$1","80","591"
"Kabuki Sushi","philadelphia","chinatown","$10","$1","80","281"
"Bubblefish","philadelphia","chinatown","$9","$1.99","80","271"
"Tom's Dim Sum","philadelphia","chinatown","$9","$1.99","80","240"
"Shang Hai 1","philadelphia","chinatown","$9","$1.99","80","144"
"Giovani's Falafel Bar & Grill","philadelphia","chinatown","$10","","80","85"
"Fuji Mountain Japanese","philadelphia","chinatown","$20","","80","362"
"Talia's Grille","philadelphia","chinatown","$15","$3.5","90","69"
"Yellowtail","philadelphia","chinatown","$10","$1","80","89"
"Gianfranco Pizza Rustica","philadelphia","chinatown","$15","$2.5","80","184"
"Kai Japanese Cuisine","philadelphia","chinatown","$15","$1","80","79"
"Trios Fresh Italian","philadelphia","chinatown","$15","$3.99","80","154"
"Sang Kee Peking Duck House","philadelphia","chinatown","$9","$3.5","80","619"
"Giovani's Falafel Bar & Grill","philadelphia","chopersville","$10","","80","85"
"Kai Japanese Cuisine","philadelphia","chopersville","$15","$1","80","79"
"Frank's Pizza","philadelphia","chopersville","","$3","80","77"
"Eatalia","philadelphia","chopersville","$10","$1","80","124"
"Steak & Shake","philadelphia","chopersville","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","chopersville","$15","","80","120"
"Fresh Works","philadelphia","chopersville","$10","$1","80","29"
"Laxmi's Indian Grille","philadelphia","chopersville","$25","$1.5","70","62"
"Rich City Chinese Restaurant","philadelphia","chopersville","$10","$1","70","99"
"Totos Pizzeria","philadelphia","chopersville","$10","$2","60","98"
"Seiko Japanese Restaurant","philadelphia","chopersville","$20","$1","70","86"
"East Coast Wings & Grill","philadelphia","chopersville","$25","$5","70","67"
"New London Pizza","philadelphia","chopersville","$15","$1.25","70","18"
"Dragon Phoenix House","philadelphia","chopersville","$15","$2.5","70","24"
"Ribs R Us","philadelphia","chopersville","$12","$3","70","56"
"Classic Pizza","philadelphia","chopersville","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","chopersville","$10","$2","80","12"
"Fiore Pizza","philadelphia","chopersville","$10","$1","60","15"
"goBrands Philadelphia","philadelphia","chopersville","$9","$1.95","70","51"
"2 in One Breakfast & Pizza","philadelphia","chopersville","$10","$3","70","7"
"Zesto Pizza & Grill","philadelphia","cobbs-creek","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","cobbs-creek","$10","","80","85"
"Indian Cuisine","philadelphia","cobbs-creek","$15","","80","86"
"Guacamole Mex Grill","philadelphia","cobbs-creek","$12","$2","80","110"
"Best China Inn","philadelphia","cobbs-creek","$10","$2","70","67"
"Fiesta Pizza","philadelphia","cobbs-creek","$8","$2","70","47"
"Ever Green","philadelphia","cobbs-creek","$10","$1","70","63"
"Lemon Grass Thai Restaurant","philadelphia","cobbs-creek","$20","$2","70","175"
"U Penn Cafe","philadelphia","cobbs-creek","$10","$2","70","28"
"Rich City Chinese Restaurant","philadelphia","cobbs-creek","$10","$1","70","99"
"Aladdin Pizzeria & Eatery","philadelphia","cobbs-creek","$8","$3","70","54"
"Thai Singha House","philadelphia","cobbs-creek","$15","$2","70","61"
"Jake's Sandwich Board - 40th St.","philadelphia","cobbs-creek","$10","$2.99","70","54"
"Desi Village Indian Cuisine","philadelphia","cobbs-creek","$15","","70","96"
"goBrands Philadelphia","philadelphia","cobbs-creek","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","cobbs-creek","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","cobbs-creek","$10","$2","70","48"
"Accu Pizza","philadelphia","cobbs-creek","$12","$2","60","39"
"Curry Bird","philadelphia","cobbs-creek","$10","$2","80","10"
"Falafel Exotic Halal Cuisine","philadelphia","cobbs-creek","$15","$2","70","27"
"Mario's Pizza","philadelphia","college-of-optometry","$10","$2","70","36"
"Totos Pizzeria","philadelphia","college-of-optometry","$10","$2","60","98"
"New London Pizza","philadelphia","college-of-optometry","$15","$1.25","70","18"
"Ribs R Us","philadelphia","college-of-optometry","$12","$3","70","56"
"Moju's Family Pizzeria","philadelphia","college-of-optometry","$10","$2","80","12"
"2 in One Breakfast & Pizza","philadelphia","college-of-optometry","$10","$3","70","7"
"Tiffin","philadelphia","college-of-optometry","$15","","60","140"
"Sorrento's Pizza","philadelphia","college-of-optometry","$8","$2","60","22"
"Chatkharay Indian & Pakistani","philadelphia","college-of-optometry","$25","$2","50","43"
"Golden Crust Pizza","philadelphia","college-of-optometry","$10","$2.5","50","31"
"Diamante Pizzeria","philadelphia","college-of-optometry","$10","$2","60","8"
"Brother's Pizza House II","philadelphia","college-of-optometry","$10","$2","70","6"
"Kingston City Restaurant","philadelphia","college-of-optometry","$10","$2","50","20"
"Papa John's Pizza","philadelphia","college-of-optometry","$10","$2.99","50","24"
"New Germantown Pizza","philadelphia","college-of-optometry","$5","$1.95","40","7"
"Action Pizza","philadelphia","college-of-optometry","$7","$1.5","40","4"
"Takka Grill","philadelphia","college-of-optometry","$8","$2","30","7"
"Seafood Sensations","philadelphia","college-of-optometry","$15","$2","40","5"
"New Station Pizza","philadelphia","college-of-optometry","$10","$1.5","30","3"
"Mr. Hook Fish & Chicken","philadelphia","college-of-optometry","$10","$4","30","3"
"Xiandu Thai","philadelphia","community-college-of-philadelphia","$15","$1","90","359"
"Rosa's Fresh Pizza","philadelphia","community-college-of-philadelphia","$20","","90","160"
"Dim Sum & Noodle","philadelphia","community-college-of-philadelphia","","$3","90","113"
"Golden Triangle","philadelphia","community-college-of-philadelphia","$15","","90","72"
"New Delhi Indian","philadelphia","community-college-of-philadelphia","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","community-college-of-philadelphia","$10","$3","80","82"
"Angelino's Restaurant & Pizzeria","philadelphia","community-college-of-philadelphia","$10","$1.5","80","121"
"Giovani's Falafel Bar & Grill","philadelphia","community-college-of-philadelphia","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","community-college-of-philadelphia","$10","$1.5","80","116"
"Luigi's Pizza Fresca","philadelphia","community-college-of-philadelphia","$10","$1.5","80","172"
"Yellowtail","philadelphia","community-college-of-philadelphia","$10","$1","80","89"
"Kai Japanese Cuisine","philadelphia","community-college-of-philadelphia","$15","$1","80","79"
"Indian Cuisine","philadelphia","community-college-of-philadelphia","$15","","80","86"
"Scoop Deville","philadelphia","community-college-of-philadelphia","$15","$2","80","323"
"Doma","philadelphia","community-college-of-philadelphia","$15","$1","80","368"
"Masala Kitchen Kati Rolls & Platters","philadelphia","community-college-of-philadelphia","$20","$1.99","80","180"
"Pho 20","philadelphia","community-college-of-philadelphia","$9","$1.99","80","75"
"Kansai Japanese Cuisine","philadelphia","community-college-of-philadelphia","$15","$1","80","129"
"Eatalia","philadelphia","community-college-of-philadelphia","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","community-college-of-philadelphia","$15","","80","120"
"Xiandu Thai","philadelphia","devils-pocket","$15","$1","90","359"
"So Crepe","philadelphia","devils-pocket","$9","$1.99","90","235"
"Cosmi's Deli","philadelphia","devils-pocket","$10","$1.5","90","261"
"Bistro Southeast","philadelphia","devils-pocket","$9","$1.99","90","125"
"Golden Triangle","philadelphia","devils-pocket","$15","","90","72"
"The Living Room","philadelphia","devils-pocket","$15","$2","90","127"
"Zesto Pizza & Grill","philadelphia","devils-pocket","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","devils-pocket","$10","","80","85"
"The Quick Fixx","philadelphia","devils-pocket","$10","$3","80","255"
"Yellowtail","philadelphia","devils-pocket","$10","$1","80","89"
"Fuel","philadelphia","devils-pocket","$15","","70","199"
"Kai Japanese Cuisine","philadelphia","devils-pocket","$15","$1","80","79"
"Spice End","philadelphia","devils-pocket","$15","$2","80","250"
"Bareburger","philadelphia","devils-pocket","$15","$2","80","384"
"Indian Cuisine","philadelphia","devils-pocket","$15","","80","86"
"Scoop Deville","philadelphia","devils-pocket","$15","$2","80","323"
"Tico's Tacos Tex Mex","philadelphia","devils-pocket","$15","$2","90","24"
"Oregon Steaks","philadelphia","devils-pocket","$10","$1","70","95"
"Masala Kitchen Kati Rolls & Platters","philadelphia","devils-pocket","$20","$1.99","80","180"
"Al Zaytouna","philadelphia","devils-pocket","$12","$2","80","162"
"Golden Triangle","philadelphia","drexel-university","$15","","90","72"
"New Delhi Indian","philadelphia","drexel-university","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","drexel-university","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","drexel-university","$10","","80","85"
"Luigi's Pizza Fresca","philadelphia","drexel-university","$10","$1.5","80","172"
"Kai Japanese Cuisine","philadelphia","drexel-university","$15","$1","80","79"
"Spice End","philadelphia","drexel-university","$15","$2","80","250"
"Indian Cuisine","philadelphia","drexel-university","$15","","80","86"
"Koch's Deli","philadelphia","drexel-university","$12","$3.99","80","197"
"Scoop Deville","philadelphia","drexel-university","$15","$2","80","323"
"Oregon Steaks","philadelphia","drexel-university","$10","$1","70","95"
"Masala Kitchen Kati Rolls & Platters","philadelphia","drexel-university","$20","$1.99","80","180"
"Pho 20","philadelphia","drexel-university","$9","$1.99","80","75"
"Xi'an Sizzling Woks","philadelphia","drexel-university","$15","$1","70","154"
"Ochatto Hot Pot","philadelphia","drexel-university","$10","$3.99","80","35"
"Mad Greek's Pizza","philadelphia","drexel-university","$6","$2","80","45"
"Machi Sushi Bar","philadelphia","drexel-university","$12","","70","128"
"Sakura","philadelphia","drexel-university","$10","$1","70","111"
"Abner's","philadelphia","drexel-university","","$2","70","135"
"Best China Inn","philadelphia","drexel-university","$10","$2","70","67"
"Zesto Pizza & Grill","philadelphia","dunlap","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","dunlap","$10","","80","85"
"Best China Inn","philadelphia","dunlap","$10","$2","70","67"
"Fiesta Pizza","philadelphia","dunlap","$8","$2","70","47"
"Ever Green","philadelphia","dunlap","$10","$1","70","63"
"Lemon Grass Thai Restaurant","philadelphia","dunlap","$20","$2","70","175"
"U Penn Cafe","philadelphia","dunlap","$10","$2","70","28"
"Rich City Chinese Restaurant","philadelphia","dunlap","$10","$1","70","99"
"Aladdin Pizzeria & Eatery","philadelphia","dunlap","$8","$3","70","54"
"Thai Singha House","philadelphia","dunlap","$15","$2","70","61"
"Jake's Sandwich Board - 40th St.","philadelphia","dunlap","$10","$2.99","70","54"
"Desi Village Indian Cuisine","philadelphia","dunlap","$15","","70","96"
"goBrands Philadelphia","philadelphia","dunlap","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","dunlap","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","dunlap","$10","$2","70","48"
"Accu Pizza","philadelphia","dunlap","$12","$2","60","39"
"Mediterra Grill","philadelphia","dunlap","$6","$2","70","25"
"Italian Kitchen -  63rd Street","philadelphia","dunlap","$8","$2","70","11"
"Falafel Exotic Halal Cuisine","philadelphia","dunlap","$15","$2","70","27"
"Stacy's Pizza & Wings","philadelphia","dunlap","","$2","60","29"
"Founded Coffee & Pizza","philadelphia","east-falls","$15","$2.5","90","29"
"Giovani's Falafel Bar & Grill","philadelphia","east-falls","$10","","80","85"
"Laxmi Indian Grille - Manayunk","philadelphia","east-falls","$25","$1.5","80","157"
"Frank's Pizza","philadelphia","east-falls","","$3","80","77"
"Slices Pizza","philadelphia","east-falls","$5","$2.77","80","59"
"Tandoor India- Fishtown","philadelphia","east-falls","$15","","80","120"
"Laxmi's Indian Grille","philadelphia","east-falls","$25","$1.5","70","62"
"Rich City Chinese Restaurant","philadelphia","east-falls","$10","$1","70","99"
"Golden Crust Pizza III","philadelphia","east-falls","$10","$2","60","48"
"New China","philadelphia","east-falls","$11","$1.25","70","21"
"Totos Pizzeria","philadelphia","east-falls","$10","$2","60","98"
"Moju's Family Pizzeria","philadelphia","east-falls","$10","$2","80","12"
"2 in One Breakfast & Pizza","philadelphia","east-falls","$10","$3","70","7"
"Crown Fried Chicken","philadelphia","east-falls","$10","$1.5","100","4"
"Tiffin","philadelphia","east-falls","$15","","60","140"
"Chatkharay Indian & Pakistani","philadelphia","east-falls","$25","$2","50","43"
"Mina's Pizza","philadelphia","east-falls","$12","$2","60","38"
"Golden Crust Pizza","philadelphia","east-falls","$10","$2.5","50","31"
"Little Kitchen","philadelphia","east-falls","$10","$2","50","36"
"Roman's Pizza","philadelphia","east-falls","$12","$2.5","50","28"
"Laxmi Indian Grille - Manayunk","philadelphia","east-mt-airy","$25","$1.5","80","157"
"Evo Brickoven Pizza","philadelphia","east-mt-airy","$10","$2.5","80","74"
"Mario's Pizza","philadelphia","east-mt-airy","$10","$2","70","36"
"Panda Garden","philadelphia","east-mt-airy","$10","$1.5","80","28"
"Totos Pizzeria","philadelphia","east-mt-airy","$10","$2","60","98"
"2 in One Breakfast & Pizza","philadelphia","east-mt-airy","$10","$3","70","7"
"Tiffin","philadelphia","east-mt-airy","$15","","60","140"
"Ruby Xin Chinese Restaurant","philadelphia","east-mt-airy","$10","$2.49","60","50"
"Takka Grill & Shrimpies","philadelphia","east-mt-airy","","$2","60","15"
"Chatkharay Indian & Pakistani","philadelphia","east-mt-airy","$25","$2","50","43"
"Mina's Pizza","philadelphia","east-mt-airy","$12","$2","60","38"
"Golden Crust Pizza","philadelphia","east-mt-airy","$10","$2.5","50","31"
"Roman's Pizza","philadelphia","east-mt-airy","$12","$2.5","50","28"
"Kingston City Restaurant","philadelphia","east-mt-airy","$10","$2","50","20"
"Papa John's Pizza","philadelphia","east-mt-airy","$10","$2.99","50","24"
"Gennaro's Famous Pizza","philadelphia","east-mt-airy","$10","$3.5","40","17"
"New Germantown Pizza","philadelphia","east-mt-airy","$5","$1.95","40","7"
"Action Pizza","philadelphia","east-mt-airy","$7","$1.5","40","4"
"Takka Grill","philadelphia","east-mt-airy","$8","$2","30","7"
"Seafood Sensations","philadelphia","east-mt-airy","$15","$2","40","5"
"Zesto Pizza & Grill","philadelphia","elmwood","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","elmwood","$10","","80","85"
"Original Pete's Pizza","philadelphia","elmwood","","$2","70","36"
"Lemon Grass Thai Restaurant","philadelphia","elmwood","$20","$2","70","175"
"Rich City Chinese Restaurant","philadelphia","elmwood","$10","$1","70","99"
"Thai Singha House","philadelphia","elmwood","$15","$2","70","61"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","elmwood","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","elmwood","$10","$2","70","48"
"Aya's Pizza","philadelphia","elmwood","$10","$2","50","17"
"South Style Pizza","philadelphia","elmwood","$8","$1.5","70","3"
"Pete's Pizza #2","philadelphia","elmwood","","$3","40","20"
"Chillin Pizza","philadelphia","elmwood","$10","$3","40","8"
"Kabobeesh","philadelphia","elmwood","","miles","80","223"
"Le-Mandinque African Restaurant","philadelphia","elmwood","","miles","70","30"
"Mole Poblano","philadelphia","elmwood","$15","$1.5","90","71"
"Royal Pizza","philadelphia","elmwood","$10","$1.75","80","23"
"Giovani's Falafel Bar & Grill","philadelphia","fairhill","$10","","80","85"
"Eatalia","philadelphia","fairhill","$10","$1","80","124"
"Steak & Shake","philadelphia","fairhill","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","fairhill","$15","","80","120"
"Sakura","philadelphia","fairhill","$10","$1","70","111"
"Fresh Works","philadelphia","fairhill","$10","$1","80","29"
"Rich City Chinese Restaurant","philadelphia","fairhill","$10","$1","70","99"
"Seiko Japanese Restaurant","philadelphia","fairhill","$20","$1","70","86"
"George's Pizza","philadelphia","fairhill","$10","$1","70","30"
"New London Pizza","philadelphia","fairhill","$15","$1.25","70","18"
"Ribs R Us","philadelphia","fairhill","$12","$3","70","56"
"Classic Pizza","philadelphia","fairhill","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","fairhill","$10","$2","80","12"
"Fiore Pizza","philadelphia","fairhill","$10","$1","60","15"
"goBrands Philadelphia","philadelphia","fairhill","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","fairhill","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","fairhill","$10","$2","70","48"
"Crown Fried Chicken","philadelphia","fairhill","$10","$1.5","100","4"
"Chatkharay Indian & Pakistani","philadelphia","fairhill","$25","$2","50","43"
"You Ring We Bring Pizza","philadelphia","fairhill","$10","$1","60","11"
"Xiandu Thai","philadelphia","fairmount","$15","$1","90","359"
"Rosa's Fresh Pizza","philadelphia","fairmount","$20","","90","160"
"Dim Sum & Noodle","philadelphia","fairmount","","$3","90","113"
"Golden Triangle","philadelphia","fairmount","$15","","90","72"
"New Delhi Indian","philadelphia","fairmount","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","fairmount","$10","$3","80","82"
"Angelino's Restaurant & Pizzeria","philadelphia","fairmount","$10","$1.5","80","121"
"Giovani's Falafel Bar & Grill","philadelphia","fairmount","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","fairmount","$10","$1.5","80","116"
"Luigi's Pizza Fresca","philadelphia","fairmount","$10","$1.5","80","172"
"Yellowtail","philadelphia","fairmount","$10","$1","80","89"
"Kai Japanese Cuisine","philadelphia","fairmount","$15","$1","80","79"
"Indian Cuisine","philadelphia","fairmount","$15","","80","86"
"Scoop Deville","philadelphia","fairmount","$15","$2","80","323"
"Doma","philadelphia","fairmount","$15","$1","80","368"
"Masala Kitchen Kati Rolls & Platters","philadelphia","fairmount","$20","$1.99","80","180"
"Pho 20","philadelphia","fairmount","$9","$1.99","80","75"
"Kansai Japanese Cuisine","philadelphia","fairmount","$15","$1","80","129"
"Eatalia","philadelphia","fairmount","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","fairmount","$15","","80","120"
"Giovani's Falafel Bar & Grill","philadelphia","feltonville","$10","","80","85"
"Eatalia","philadelphia","feltonville","$10","$1","80","124"
"Steak & Shake","philadelphia","feltonville","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","feltonville","$15","","80","120"
"Suzani Restaurant","philadelphia","feltonville","$20","","80","46"
"Philly's Seafood","philadelphia","feltonville","$10","$2","80","17"
"Four Seasons Diner","philadelphia","feltonville","$5","$2","70","116"
"Rich City Chinese Restaurant","philadelphia","feltonville","$10","$1","70","99"
"Big Ben Pizza","philadelphia","feltonville","$10","$1.5","60","31"
"New London Pizza","philadelphia","feltonville","$15","$1.25","70","18"
"Dragon Phoenix House","philadelphia","feltonville","$15","$2.5","70","24"
"Ribs R Us","philadelphia","feltonville","$12","$3","70","56"
"Classic Pizza","philadelphia","feltonville","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","feltonville","$10","$2","80","12"
"Takka Grill & Shrimpies","philadelphia","feltonville","","$2","60","15"
"Pizza Bolis","philadelphia","feltonville","$10","$2","80","4"
"Chatkharay Indian & Pakistani","philadelphia","feltonville","$25","$2","50","43"
"Ozzy's Pizza Shop II","philadelphia","feltonville","$7","$2","70","11"
"Mojo's Pizza & Chicken","philadelphia","feltonville","$10","$1.5","60","19"
"Pagano's Steaks & Shakes","philadelphia","feltonville","$10","$2","60","13"
"Xiandu Thai","philadelphia","fishtown","$15","$1","90","359"
"Pancho's Cafe","philadelphia","fishtown","$15","$2","100","26"
"Golden Triangle","philadelphia","fishtown","$15","","90","72"
"Giovani's Falafel Bar & Grill","philadelphia","fishtown","$10","","80","85"
"Talia's Grille","philadelphia","fishtown","$15","$3.5","90","69"
"Yellowtail","philadelphia","fishtown","$10","$1","80","89"
"Gianfranco Pizza Rustica","philadelphia","fishtown","$15","$2.5","80","184"
"Kai Japanese Cuisine","philadelphia","fishtown","$15","$1","80","79"
"Trios Fresh Italian","philadelphia","fishtown","$15","$3.99","80","154"
"Indian Cuisine","philadelphia","fishtown","$15","","80","86"
"Scoop Deville","philadelphia","fishtown","$15","$2","80","323"
"Masala Kitchen Kati Rolls & Platters","philadelphia","fishtown","$20","$1.99","80","180"
"Pho 20","philadelphia","fishtown","$9","$1.99","80","75"
"Eatalia","philadelphia","fishtown","$10","$1","80","124"
"Mood Indian Restaurant","philadelphia","fishtown","$15","","80","44"
"Steak & Shake","philadelphia","fishtown","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","fishtown","$15","","80","120"
"Tsuki Sushi","philadelphia","fishtown","$10","$1","70","109"
"Del Rossi's Cheesesteak Co.","philadelphia","fishtown","$10","$2.5","70","178"
"Machi Sushi Bar","philadelphia","fishtown","$12","","70","128"
"Xiandu Thai","philadelphia","fitler-square","$15","$1","90","359"
"Cleavers","philadelphia","fitler-square","$10","$4","90","370"
"Golden Triangle","philadelphia","fitler-square","$15","","90","72"
"Farmer's Keep","philadelphia","fitler-square","$9","$1.99","90","129"
"Kabuki Sushi","philadelphia","fitler-square","$10","$1","80","281"
"Crazy Sushi","philadelphia","fitler-square","$10","","80","387"
"New Delhi Indian","philadelphia","fitler-square","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","fitler-square","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","fitler-square","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","fitler-square","$10","$1.5","80","116"
"Smile Cafe","philadelphia","fitler-square","$15","","80","230"
"Fuji Mountain Japanese","philadelphia","fitler-square","$20","","80","362"
"Luigi's Pizza Fresca","philadelphia","fitler-square","$10","$1.5","80","172"
"Yellowtail","philadelphia","fitler-square","$10","$1","80","89"
"Chix & Bowls","philadelphia","fitler-square","$50","$2","80","56"
"Kai Japanese Cuisine","philadelphia","fitler-square","$15","$1","80","79"
"Spice End","philadelphia","fitler-square","$15","$2","80","250"
"Bareburger","philadelphia","fitler-square","$15","$2","80","384"
"Aya's Cafe","philadelphia","fitler-square","$9","$1.99","80","146"
"Indian Cuisine","philadelphia","fitler-square","$15","","80","86"
"Xiandu Thai","philadelphia","francisville","$15","$1","90","359"
"Rosa's Fresh Pizza","philadelphia","francisville","$20","","90","160"
"Dim Sum & Noodle","philadelphia","francisville","","$3","90","113"
"Golden Triangle","philadelphia","francisville","$15","","90","72"
"New Delhi Indian","philadelphia","francisville","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","francisville","$10","$3","80","82"
"Angelino's Restaurant & Pizzeria","philadelphia","francisville","$10","$1.5","80","121"
"Giovani's Falafel Bar & Grill","philadelphia","francisville","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","francisville","$10","$1.5","80","116"
"Luigi's Pizza Fresca","philadelphia","francisville","$10","$1.5","80","172"
"Yellowtail","philadelphia","francisville","$10","$1","80","89"
"Kai Japanese Cuisine","philadelphia","francisville","$15","$1","80","79"
"Indian Cuisine","philadelphia","francisville","$15","","80","86"
"Scoop Deville","philadelphia","francisville","$15","$2","80","323"
"Doma","philadelphia","francisville","$15","$1","80","368"
"Masala Kitchen Kati Rolls & Platters","philadelphia","francisville","$20","$1.99","80","180"
"Pho 20","philadelphia","francisville","$9","$1.99","80","75"
"Kansai Japanese Cuisine","philadelphia","francisville","$15","$1","80","129"
"Eatalia","philadelphia","francisville","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","francisville","$15","","80","120"
"Giovani's Falafel Bar & Grill","philadelphia","frankford","$10","","80","85"
"Eatalia","philadelphia","frankford","$10","$1","80","124"
"Steak & Shake","philadelphia","frankford","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","frankford","$15","","80","120"
"Suzani Restaurant","philadelphia","frankford","$20","","80","46"
"Philly's Seafood","philadelphia","frankford","$10","$2","80","17"
"Four Seasons Diner","philadelphia","frankford","$5","$2","70","116"
"Rich City Chinese Restaurant","philadelphia","frankford","$10","$1","70","99"
"Big Ben Pizza","philadelphia","frankford","$10","$1.5","60","31"
"New London Pizza","philadelphia","frankford","$15","$1.25","70","18"
"Dragon Phoenix House","philadelphia","frankford","$15","$2.5","70","24"
"Ribs R Us","philadelphia","frankford","$12","$3","70","56"
"Classic Pizza","philadelphia","frankford","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","frankford","$10","$2","80","12"
"Pizza Bolis","philadelphia","frankford","$10","$2","80","4"
"Mojo's Pizza & Chicken","philadelphia","frankford","$10","$1.5","60","19"
"Pagano's Steaks & Shakes","philadelphia","frankford","$10","$2","60","13"
"You Ring We Bring Pizza","philadelphia","frankford","$10","$1","60","11"
"Papa Sam Pizza","philadelphia","frankford","$8","$1.5","70","4"
"Fanti's Pizzeria","philadelphia","frankford","$10","$1","70","10"
"Xiandu Thai","philadelphia","franklintown","$15","$1","90","359"
"Rosa's Fresh Pizza","philadelphia","franklintown","$20","","90","160"
"Dim Sum & Noodle","philadelphia","franklintown","","$3","90","113"
"Golden Triangle","philadelphia","franklintown","$15","","90","72"
"New Delhi Indian","philadelphia","franklintown","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","franklintown","$10","$3","80","82"
"Angelino's Restaurant & Pizzeria","philadelphia","franklintown","$10","$1.5","80","121"
"Giovani's Falafel Bar & Grill","philadelphia","franklintown","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","franklintown","$10","$1.5","80","116"
"Luigi's Pizza Fresca","philadelphia","franklintown","$10","$1.5","80","172"
"Yellowtail","philadelphia","franklintown","$10","$1","80","89"
"Kai Japanese Cuisine","philadelphia","franklintown","$15","$1","80","79"
"Indian Cuisine","philadelphia","franklintown","$15","","80","86"
"Scoop Deville","philadelphia","franklintown","$15","$2","80","323"
"Doma","philadelphia","franklintown","$15","$1","80","368"
"Masala Kitchen Kati Rolls & Platters","philadelphia","franklintown","$20","$1.99","80","180"
"Pho 20","philadelphia","franklintown","$9","$1.99","80","75"
"Kansai Japanese Cuisine","philadelphia","franklintown","$15","$1","80","129"
"Eatalia","philadelphia","franklintown","$10","$1","80","124"
"Tandoor India- Fishtown","philadelphia","franklintown","$15","","80","120"
"Zesto Pizza & Grill","philadelphia","garden-court","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","garden-court","$10","","80","85"
"Indian Cuisine","philadelphia","garden-court","$15","","80","86"
"Guacamole Mex Grill","philadelphia","garden-court","$12","$2","80","110"
"Best China Inn","philadelphia","garden-court","$10","$2","70","67"
"Fiesta Pizza","philadelphia","garden-court","$8","$2","70","47"
"Ever Green","philadelphia","garden-court","$10","$1","70","63"
"Lemon Grass Thai Restaurant","philadelphia","garden-court","$20","$2","70","175"
"U Penn Cafe","philadelphia","garden-court","$10","$2","70","28"
"Rich City Chinese Restaurant","philadelphia","garden-court","$10","$1","70","99"
"Aladdin Pizzeria & Eatery","philadelphia","garden-court","$8","$3","70","54"
"Thai Singha House","philadelphia","garden-court","$15","$2","70","61"
"Jake's Sandwich Board - 40th St.","philadelphia","garden-court","$10","$2.99","70","54"
"Desi Village Indian Cuisine","philadelphia","garden-court","$15","","70","96"
"goBrands Philadelphia","philadelphia","garden-court","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","garden-court","$10","$2","80","10"
