"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"Originals Italian Restaurant & Bar","philadelphia","andalusia","$10","$1","60","21"
"NO.1 China","philadelphia","andalusia","$10","$1.5","80","4"
"Happy Panda","philadelphia","andalusia","$10","$1","70","9"
"Xiandu Thai","philadelphia","bella-vista","$15","$1","90","359"
"Cosmi's Deli","philadelphia","bella-vista","$10","$1.5","90","261"
"BAP","philadelphia","bella-vista","$9","$1.99","90","135"
"Golden Triangle","philadelphia","bella-vista","$15","","90","72"
"The Living Room","philadelphia","bella-vista","$15","$2","90","127"
"Nora's Mexican Grill","philadelphia","bella-vista","$15","$2","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","bella-vista","$10","","80","85"
"Quetzally Mexican Food","philadelphia","bella-vista","$15","$1.5","80","187"
"Tamarind","philadelphia","bella-vista","$9","$1.99","80","227"
"Yellowtail","philadelphia","bella-vista","$10","$1","80","89"
"Gianfranco Pizza Rustica","philadelphia","bella-vista","$15","$2.5","80","184"
"Fuel","philadelphia","bella-vista","$15","","70","199"
"Kai Japanese Cuisine","philadelphia","bella-vista","$15","$1","80","79"
"Spice End","philadelphia","bella-vista","$15","$2","80","250"
"Bareburger","philadelphia","bella-vista","$15","$2","80","384"
"Indian Cuisine","philadelphia","bella-vista","$15","","80","86"
"La Fourno Ristorante Trattoria","philadelphia","bella-vista","","$2.5","80","221"
"Scoop Deville","philadelphia","bella-vista","$15","$2","80","323"
"Oregon Steaks","philadelphia","bella-vista","$10","$1","70","95"
"Silver Fork Thai & Japanese","philadelphia","bella-vista","$9","$1.99","90","32"
"Golden Triangle","philadelphia","belmont","$15","","90","72"
"New Delhi Indian","philadelphia","belmont","$15","$0.5","80","397"
"Zesto Pizza & Grill","philadelphia","belmont","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","belmont","$10","","80","85"
"Luigi's Pizza Fresca","philadelphia","belmont","$10","$1.5","80","172"
"Kai Japanese Cuisine","philadelphia","belmont","$15","$1","80","79"
"Spice End","philadelphia","belmont","$15","$2","80","250"
"Indian Cuisine","philadelphia","belmont","$15","","80","86"
